editora,link,qtde_livros,codigo
Intrínseca,/editora/11-intrinseca,1410,11
Sextante,/editora/19-sextante,1416,19
Arqueiro,/editora/21-arqueiro,656,21
Galera Record,/editora/25-galera-record,876,25
Rocco,/editora/41-rocco,3536,41
Melhoramentos,/editora/51-melhoramentos,2057,51
Valentina,/editora/64-valentina,108,64
Gutenberg,/editora/73-gutenberg,240,73
Verus,/editora/98-verus,520,98
HarperCollins Brasil,/editora/100-harpercollins-brasil,467,100
Universo dos Livros,/editora/102-universo-dos-livros,850,102
Universo Geek,/editora/121-universo-geek,26,121
The Gift Box Editora,/editora/135-the-gift-box-editora,127,135
Excelsior,/editora/136-excelsior,42,136
Martin Claret,/editora/141-martin-claret,348,141
